source,listing_uid,source_listing_id,title,price_eur,postcode,city,address,availability,latitude,longitude,first_seen_at,last_seen_at,latest_status,extra_summary,url
immojeune,immojeune::https://www.immojeune.com/colocation/lyon-01-69/chambre-colocation-lyon-1_3883378.html,,CHAMBRE COLOCATION LYON 1,5,69001,Lyon area,69001 Lyon 01,Disponible immédiatement,,,2026-05-20T10:08:59.886186+00:00,2026-05-25T11:02:00.047473+00:00,unchanged,Likely student-friendly | No current-housemate data shown | Ecole Presqu'île - Arts appliqués ( à 209 m ) | École de Théâtre de Lyon ( à 325 m ) | ATRE Lyon ( à 382 m ) | ESMOD Lyon ( à 591 m ),https://www.immojeune.com/colocation/lyon-01-69/chambre-colocation-lyon-1_3883378.html
immojeune,immojeune::https://www.immojeune.com/colocation/lyon-07-69/suites-dans-colocation-lyon-7_3883689.html,,SUITES DANS COLOCATION LYON 7,5,69007,Lyon area,69007 Lyon 07,Disponible immédiatement,,,2026-05-16T23:40:31.011895+00:00,2026-05-25T11:02:00.047473+00:00,unchanged,Possible student fit | No current-housemate data shown | ESD Lyon ( à 115 m ) | ESPub Lyon ( à 115 m ) | Université Lumière Lyon 2 - Campus Lyon 7ème ( à 159 m ) | INSEEC Business School Lyon ( à 165 m ),https://www.immojeune.com/colocation/lyon-07-69/suites-dans-colocation-lyon-7_3883689.html
la_carte_des_colocs,la_carte_des_colocs::1230882,1230882,Appartement 6 pièces de 120 m²,10,69100,Villeurbanne,Rue Jean-Claude Vivant,Disponible le 15/08/2026,,,2026-05-21T10:21:13.592245+00:00,2026-05-21T10:21:13.592245+00:00,missing_but_live,student_room | Appartement | 6,https://www.lacartedescolocs.fr/chambres-pour-etudiant/fr/auvergne-rhone-alpes/villeurbanne/a/z5qlcg
la_carte_des_colocs,la_carte_des_colocs::1216483,1216483,Appartement 3 pièces de 57 m²,35,69003,Lyon,Rue André Philip,Disponible,,,2026-05-16T23:40:31.011895+00:00,2026-05-25T11:02:00.047473+00:00,updated,sublet | Appartement | 1,https://www.lacartedescolocs.fr/sous-locations/fr/auvergne-rhone-alpes/lyon/a/zhaj7r
la_carte_des_colocs,la_carte_des_colocs::1232623,1232623,Appartement 3 pièces de 70 m²,35,69002,Lyon,Quai Jean Moulin,Disponible,,,2026-05-16T23:40:31.011895+00:00,2026-05-25T11:02:00.047473+00:00,updated,homestay | Appartement | 1,https://www.lacartedescolocs.fr/chambres-chez-l-habitant/fr/auvergne-rhone-alpes/lyon/a/ijfgwe
la_carte_des_colocs,la_carte_des_colocs::1195907,1195907,Appartement 3 pièces de 66 m²,40,69100,Villeurbanne,Rue des Charmettes,Disponible,,,2026-05-21T10:21:13.592245+00:00,2026-05-21T10:21:13.592245+00:00,missing_but_live,sublet | Appartement | 1,https://www.lacartedescolocs.fr/sous-locations/fr/auvergne-rhone-alpes/villeurbanne/a/va9jht
immojeune,immojeune::https://www.immojeune.com/colocation/lyon-06-69/chambre-colocation-lyon-6_3889760.html,,CHAMBRE COLOCATION LYON 6,75,69006,Lyon area,69006 Lyon 06,Disponible immédiatement,,,2026-05-16T23:40:31.011895+00:00,2026-05-19T10:21:05.768089+00:00,missing_but_live,Possible student fit | No current-housemate data shown | Lycée du Parc - Lyon ( à 50 m ) | EPSI Lyon ( à 237 m ) | ESSCA Lyon ( à 237 m ) | Ecole des avocats de la région Rhône-Alpes - Villeurbanne ( à 384 m ),https://www.immojeune.com/colocation/lyon-06-69/chambre-colocation-lyon-6_3889760.html
la_carte_des_colocs,la_carte_des_colocs::1242708,1242708,Immeuble 3 pièces de 72 m²,115,69008,Lyon,Route de Vienne,Disponible,,,2026-05-16T23:40:31.011895+00:00,2026-05-25T11:02:00.047473+00:00,updated,coliving | Immeuble | 1,https://www.lacartedescolocs.fr/colivings/fr/auvergne-rhone-alpes/lyon/a/ju4wmo
la_carte_des_colocs,la_carte_des_colocs::1186355,1186355,Appartement 2 pièces de 50 m²,150,69004,Lyon,Rue Philibert Roussy,Disponible,,,2026-05-16T23:40:31.011895+00:00,2026-05-25T11:02:00.047473+00:00,updated,sublet | Appartement | 0,https://www.lacartedescolocs.fr/sous-locations/fr/auvergne-rhone-alpes/lyon/a/6rc5wr
la_carte_des_colocs,la_carte_des_colocs::604141,604141,Appartement 4 pièces de 78 m²,247,69009,Lyon,Rue du Doyen Georges Chapas,Disponible,,,2026-05-16T23:40:31.011895+00:00,2026-05-25T11:02:00.047473+00:00,updated,flatshare | Appartement | 2,https://www.lacartedescolocs.fr/colocations/fr/auvergne-rhone-alpes/lyon/a/6ow5qu
la_carte_des_colocs,la_carte_des_colocs::1249403,1249403,Appartement 6 pièces de 100 m²,250,69007,Lyon,Rue Prosper Chappet,Disponible le 01/07/2026,,,2026-05-16T23:40:31.011895+00:00,2026-05-25T11:02:00.047473+00:00,updated,sublet | Appartement | 3,https://www.lacartedescolocs.fr/sous-locations/fr/auvergne-rhone-alpes/lyon/a/bi19t4
la_carte_des_colocs,la_carte_des_colocs::1219974,1219974,Appartement 5 pièces de 128 m²,277,69009,Lyon,Boulevard de Balmont,Disponible,,,2026-05-16T23:40:31.011895+00:00,2026-05-25T11:02:00.047473+00:00,updated,rental | Appartement | 0,https://www.lacartedescolocs.fr/locations/fr/auvergne-rhone-alpes/lyon/a/19ay3j
la_carte_des_colocs,la_carte_des_colocs::1154262,1154262,Appartement 6 pièces de 129 m²,299,69800,Saint-Priest,Rue Odette Joyeux,Disponible,,,2026-05-21T10:21:13.592245+00:00,2026-05-21T10:21:13.592245+00:00,missing_but_live,flatshare | Appartement | 0,https://www.lacartedescolocs.fr/colocations/fr/auvergne-rhone-alpes/saint-priest/a/rnulqi
la_carte_des_colocs,la_carte_des_colocs::1195290,1195290,Appartement 1 pièce de 53 m²,300,69001,Lyon,Passage Mermet,Disponible le 22/06/2026,,,2026-05-21T10:21:13.592245+00:00,2026-05-25T11:02:00.047473+00:00,updated,sublet | Appartement | 0,https://www.lacartedescolocs.fr/sous-locations/fr/auvergne-rhone-alpes/lyon/a/9zmpoi
la_carte_des_colocs,la_carte_des_colocs::1239249,1239249,Maison 5 pièces de 160 m²,300,,Champagne-au-Mont-d'Or,Champagne-au-Mont-d'Or,Disponible le 05/06/2026,,,2026-05-21T10:21:13.592245+00:00,2026-05-21T10:21:13.592245+00:00,missing_but_live,flatshare | Maison | 3,https://www.lacartedescolocs.fr/colocations/fr/auvergne-rhone-alpes/champagne-au-mont-d-or/a/fl5bon
la_carte_des_colocs,la_carte_des_colocs::1225577,1225577,Appartement 4 pièces de 88 m²,330,69008,Lyon,Rue Challemel Lacour,Disponible,,,2026-05-16T23:40:31.011895+00:00,2026-05-25T11:02:00.047473+00:00,updated,flatshare | Appartement | 2,https://www.lacartedescolocs.fr/colocations/fr/auvergne-rhone-alpes/lyon/a/uhoncy
immojeune,immojeune::https://www.immojeune.com/colocation/lyon-03-69/chambre-dans-le-rue-de-labondance_4004505.html,,Chambre dans le rue de l'abondance,345,69003,Lyon area,69003 Lyon 03,Disponible immédiatement,45.75381,4.854411,2026-05-17T08:39:12.664795+00:00,2026-05-25T11:02:00.047473+00:00,unchanged,"Strong student fit | 3 student(s), no workers listed | RISE Lyon - Réseau des instituts supérieurs de l'entreprise ( à 121 m ) | Ecole Medcomm ( à 389 m ) | Adonis Lyon Rhône ( à 423 m ) | Institut Rose Carmin Lyon ( à 444 m )",https://www.immojeune.com/colocation/lyon-03-69/chambre-dans-le-rue-de-labondance_4004505.html
